x_ft,y_ft,lux
81.794859,29.370707,1.265205
57.520434,31.025758,0.419286
58.531869,31.025758,0.436930
59.543303,31.025758,0.455713
60.554737,31.025758,0.475728
61.566172,31.025758,0.497075
62.577606,31.025758,0.519862
63.589040,31.025758,0.544205
64.600475,31.025758,0.570232
65.611909,31.025758,0.598078
66.623343,31.025758,0.627890
67.634778,31.025758,0.659823
68.646212,31.025758,0.694042
69.657646,31.025758,0.730720
70.669081,31.025758,0.770036
71.680515,31.025758,0.812174
72.691949,31.025758,0.857317
73.703384,31.025758,0.905645
74.714818,31.025758,0.957323
75.726253,31.025758,1.012499
76.737687,31.025758,1.071281
77.749121,31.025758,1.133732
78.760556,31.025758,1.199844
79.771990,31.025758,1.269515
80.783424,31.025758,1.342524
81.794859,31.025758,1.418497
82.806293,31.025758,1.496876
83.817727,31.025758,1.576887
57.520434,32.680808,0.432352
58.531869,32.680808,0.451151
59.543303,32.680808,0.471224
60.554737,32.680808,0.492683
61.566172,32.680808,0.515649
62.577606,32.680808,0.540255
63.589040,32.680808,0.566647
64.600475,32.680808,0.594985
65.611909,32.680808,0.625444
66.623343,32.680808,0.658214
67.634778,32.680808,0.693503
68.646212,32.680808,0.731534
69.657646,32.680808,0.772549
70.669081,32.680808,0.816807
71.680515,32.680808,0.864581
72.691949,32.680808,0.916157
73.703384,32.680808,0.971829
74.714818,32.680808,1.031893
75.726253,32.680808,1.096636
76.737687,32.680808,1.166322
77.749121,32.680808,1.241173
78.760556,32.680808,1.321342
79.771990,32.680808,1.406884
80.783424,32.680808,1.497710
81.794859,32.680808,1.593539
82.806293,32.680808,1.693839
83.817727,32.680808,1.797766
84.829162,32.680808,1.904100
85.840596,32.680808,2.011193
57.520434,34.335859,0.444837
58.531869,34.335859,0.464764
59.543303,34.335859,0.486103
60.554737,34.335859,0.508985
61.566172,34.335859,0.533555
62.577606,34.335859,0.559973
63.589040,34.335859,0.588417
64.600475,34.335859,0.619084
65.611909,34.335859,0.652193
66.623343,34.335859,0.687985
67.634778,34.335859,0.726729
68.646212,34.335859,0.768720
69.657646,34.335859,0.814282
70.669081,34.335859,0.863770
71.680515,34.335859,0.917574
72.691949,34.335859,0.976112
73.703384,34.335859,1.039833
74.714818,34.335859,1.109212
75.726253,34.335859,1.184739
76.737687,34.335859,1.266908
77.749121,34.335859,1.356198
78.760556,34.335859,1.453038
79.771990,34.335859,1.557770
80.783424,34.335859,1.670589
81.794859,34.335859,1.791473
82.806293,34.335859,1.920079
83.817727,34.335859,2.055641
84.829162,34.335859,2.196835
85.840596,34.335859,2.341655
86.852030,34.335859,2.487301
87.863465,34.335859,2.630123
57.520434,35.990909,0.456565
58.531869,35.990909,0.477569
59.543303,35.990909,0.500122
60.554737,35.990909,0.524374
61.566172,35.990909,0.550495
62.577606,35.990909,0.578674
63.589040,35.990909,0.609123
64.600475,35.990909,0.642079
65.611909,35.990909,0.677809
66.623343,35.990909,0.716613
67.634778,35.990909,0.758824
68.646212,35.990909,0.804820
69.657646,35.990909,0.855023
70.669081,35.990909,0.909903
71.680515,35.990909,0.969988
72.691949,35.990909,1.035861
73.703384,35.990909,1.108171
74.714818,35.990909,1.187626
75.726253,35.990909,1.274993
76.737687,35.990909,1.371095
77.749121,35.990909,1.476786
78.760556,35.990909,1.592931
79.771990,35.990909,1.720353
80.783424,35.990909,1.859773
81.794859,35.990909,2.011701
82.806293,35.990909,2.176302
83.817727,35.990909,2.353213
84.829162,35.990909,2.541304
85.840596,35.990909,2.738417
86.852030,35.990909,2.941076
87.863465,35.990909,3.144257
88.874899,35.990909,3.341280
89.886333,35.990909,3.523932
57.520434,37.645960,0.467361
58.531869,37.645960,0.489366
59.543303,37.645960,0.513050
60.554737,37.645960,0.538583
61.566172,37.645960,0.566161
62.577606,37.645960,0.596001
63.589040,37.645960,0.628350
64.600475,37.645960,0.663487
65.611909,37.645960,0.701730
66.623343,37.645960,0.743437
67.634778,37.645960,0.789018
68.646212,37.645960,0.838935
69.657646,37.645960,0.893719
70.669081,37.645960,0.953972
71.680515,37.645960,1.020380
72.691949,37.645960,1.093722
73.703384,37.645960,1.174883
74.714818,37.645960,1.264862
75.726253,37.645960,1.364785
76.737687,37.645960,1.475903
77.749121,37.645960,1.599595
78.760556,37.645960,1.737350
79.771990,37.645960,1.890736
80.783424,37.645960,2.061329
81.794859,37.645960,2.250605
82.806293,37.645960,2.459762
83.817727,37.645960,2.689453
84.829162,37.645960,2.939413
85.840596,37.645960,3.207956
86.852030,37.645960,3.491369
87.863465,37.645960,3.783256
88.874899,37.645960,4.074001
89.886333,37.645960,4.350590
90.897768,37.645960,4.597115
57.520434,39.301010,0.477053
58.531869,39.301010,0.499957
59.543303,39.301010,0.524657
60.554737,39.301010,0.551346
61.566172,39.301010,0.580241
62.577606,39.301010,0.611589
63.589040,39.301010,0.645672
64.600475,39.301010,0.682808
65.611909,39.301010,0.723365
66.623343,39.301010,0.767763
67.634778,39.301010,0.816484
68.646212,39.301010,0.870083
69.657646,39.301010,0.929201
70.669081,39.301010,0.994580
71.680515,39.301010,1.067078
72.691949,39.301010,1.147688
73.703384,39.301010,1.237564
74.714818,39.301010,1.338042
75.726253,39.301010,1.450668
76.737687,39.301010,1.577225
77.749121,39.301010,1.719755
78.760556,39.301010,1.880582
79.771990,39.301010,2.062303
80.783424,39.301010,2.267765
81.794859,39.301010,2.499973
82.806293,39.301010,2.761923
83.817727,39.301010,3.056278
84.829162,39.301010,3.384860
